Bundesland,Bevoelkerungsstand
Oesterreich,9061848
Burgenland,300457
Kärnten,567644
Niederoesterreich,1713465
Oberoesterreich,1517477
Salzburg,566751
Steiermark,1260417
Tirol,768443
Vorarlberg,404415
Wien,1962779
